"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BPCL","2012-04-30","454","496","463","496","9.25","502"
"BPCL","2012-05-02","496","525","505","515","3.83","1628"
"BPCL","2012-05-03","515","532","525","532","3.30","1036"
"BPCL","2012-05-08","532","563","541","541","1.69","3570"
"BPCL","2012-05-09","541","565","551","560","3.51","1188"
"BPCL","2012-05-10","560","570","548","549","-1.96","2208"
"BPCL","2012-05-13","549","540","540","540","-1.64","160"
"BPCL","2012-05-15","540","561","550","561","3.89","455"
"BPCL","2012-05-16","561","583","572","583","3.92","20"
"BPCL","2012-05-17","583","617","594","605","3.77","512"
"BPCL","2012-05-20","605","593","545","561","-7.27","1294"
"BPCL","2012-05-21","561","566","550","555","-1.07","340"
"BPCL","2012-05-22","555","553","534","553","-0.36","260"
"BPCL","2012-05-23","553","542","542","542","-1.99","42"
"BPCL","2012-05-24","542","532","520","520","-4.06","816"
"BPCL","2012-05-27","520","540","500","540","3.85","370"
"BPCL","2012-05-31","540","530","486","504","-6.67","2281"
"BPCL","2012-06-03","504","524","514","524","3.97","1120"
"BPCL","2012-06-04","524","514","485","493","-5.92","530"
"BPCL","2012-06-05","493","493","475","475","-3.65","110"
"BPCL","2012-06-06","475","475","461","461","-2.95","460"
"BPCL","2012-06-07","461","480","453","475","3.04","1540"
"BPCL","2012-06-10","475","466","460","460","-3.16","40"
"BPCL","2012-06-11","460","469","451","462","0.43","170"
"BPCL","2012-06-14","462","473","455","473","2.38","3400"
"BPCL","2012-06-20","473","491","482","490","3.59","210"
"BPCL","2012-06-21","490","481","472","472","-3.67","10280"
"BPCL","2012-06-25","472","481","475","481","1.91","275"
"BPCL","2012-06-26","481","489","480","480","-0.21","1929"
"BPCL","2012-06-27","480","488","488","488","1.67","100"
"BPCL","2012-06-28","488","506","496","496","1.64","531"
"BPCL","2012-07-02","496","487","471","471","-5.04","2140"
"BPCL","2012-07-03","471","480","470","479","1.70","1100"
"BPCL","2012-07-04","479","497","488","497","3.76","99"
"BPCL","2012-07-05","497","519","490","517","4.02","1357"
"BPCL","2012-07-08","517","537","527","537","3.87","524"
"BPCL","2012-07-09","537","547","527","547","1.86","321"
"BPCL","2012-07-10","547","568","536","556","1.65","806"
"BPCL","2012-07-11","556","555","535","555","-0.18","220"
"BPCL","2012-07-12","555","577","566","577","3.96","160"
"BPCL","2012-07-23","577","566","540","541","-6.24","1702"
"BPCL","2012-07-24","541","540","531","540","-0.18","1400"
"BPCL","2012-07-25","540","535","528","528","-2.22","1049"
"BPCL","2012-07-26","528","518","518","518","-1.89","500"
"BPCL","2012-07-30","518","518","508","515","-0.58","1724"
"BPCL","2012-07-31","515","513","512","512","-0.58","600"
"BPCL","2012-08-01","512","542","522","542","5.86","42"
"BPCL","2012-08-05","542","532","522","531","-2.03","1986"
"BPCL","2012-08-06","531","522","515","515","-3.01","650"
"BPCL","2012-08-07","515","527","515","527","2.33","1336"
"BPCL","2012-08-08","527","571","537","571","8.35","5352"
"BPCL","2012-08-12","571","616","569","578","1.23","6235"
"BPCL","2012-08-13","578","581","565","570","-1.38","2310"
"BPCL","2012-08-14","570","615","581","604","5.96","6499"
"BPCL","2012-08-15","604","599","585","589","-2.48","3916"
